Key,KeyID,HitPointLocalX,HitPointLocalY,KeyGroundTruthLocalX,KeyGroundTruthLocalY
p,16,1.681433,0.1353766,1.56675,0.01100035
p,16,1.663636,0.1372468,1.56675,0.01100035
p,16,1.66471,0.1265024,1.56675,0.01100035
p,16,1.676904,0.1185092,1.56675,0.01100035
p,16,1.686137,0.1129251,1.56675,0.01100035
p,16,1.693768,0.1084131,1.56675,0.01100035
p,16,1.708043,0.1640434,1.56675,0.01100035
p,16,1.70545,0.1672242,1.56675,0.01100035
p,16,1.706511,0.1685596,1.56675,0.01100035
p,16,1.707808,0.1697254,1.56675,0.01100035
u,21,0.5532612,0.1942298,0.5167501,0.01100031
u,21,0.5469338,0.1925242,0.5167501,0.01100031
u,21,0.5447315,0.191132,0.5167501,0.01100031
u,21,0.5441092,0.1907988,0.5167501,0.01100031
u,21,0.5463125,0.1826904,0.5167501,0.01100031
u,21,0.5426852,0.1797606,0.5167501,0.01100031
u,21,0.5369927,0.1771672,0.5167501,0.01100031
u,21,0.5328659,0.1774215,0.5167501,0.01100031
u,21,0.526791,0.1807923,0.5167501,0.01100031
u,21,0.5217016,0.1840521,0.5167501,0.01100031
u,21,0.5157984,0.1853085,0.5167501,0.01100031
u,21,0.5089106,0.184805,0.5167501,0.01100031
u,21,0.5076714,0.1830541,0.5167501,0.01100031
u,21,0.5063239,0.18338,0.5167501,0.01100031
u,21,0.5089236,0.1834351,0.5167501,0.01100031
u,21,0.5172487,0.1840999,0.5167501,0.01100031
u,21,0.5274022,0.1859388,0.5167501,0.01100031
u,21,0.5419834,0.1865336,0.5167501,0.01100031
u,21,0.5471226,0.1869729,0.5167501,0.01100031
u,21,0.5557916,0.1877291,0.5167501,0.01100031
u,21,0.5600227,0.1912176,0.5167501,0.01100031
u,21,0.5652192,0.1955346,0.5167501,0.01100031
i,9,0.7492635,0.1745854,0.8667499,0.01100029
i,9,0.7827418,0.1557835,0.8667499,0.01100029
i,9,0.7991767,0.139994,0.8667499,0.01100029
i,9,0.8100041,0.1275974,0.8667499,0.01100029
i,9,0.820149,0.1142932,0.8667499,0.01100029
i,9,0.8255926,0.1065831,0.8667499,0.01100029
i,9,0.8295631,0.1010945,0.8667499,0.01100029
i,9,0.836291,0.09676018,0.8667499,0.01100029
i,9,0.8373802,0.09436016,0.8667499,0.01100029
i,9,0.8369707,0.09249746,0.8667499,0.01100029
i,9,0.835267,0.09030483,0.8667499,0.01100029
i,9,0.8307064,0.08763163,0.8667499,0.01100029
i,9,0.8270598,0.08488117,0.8667499,0.01100029
i,9,0.824228,0.08281523,0.8667499,0.01100029
i,9,0.8208799,0.08169128,0.8667499,0.01100029
i,9,0.81489,0.08133013,0.8667499,0.01100029
i,9,0.8153943,0.08193149,0.8667499,0.01100029
i,9,0.8271988,0.09138017,0.8667499,0.01100029
i,9,0.838089,0.1018432,0.8667499,0.01100029
i,9,0.8535671,0.1019593,0.8667499,0.01100029
i,9,0.8820755,0.09776475,0.8667499,0.01100029
i,9,0.9455104,0.09562309,0.8667499,0.01100029
i,9,0.972373,0.09289324,0.8667499,0.01100029
i,9,1.003311,0.08988106,0.8667499,0.01100029
o,15,1.075037,0.08004983,1.21675,0.01100027
o,15,1.082881,0.08162382,1.21675,0.01100027
o,15,1.086685,0.08278881,1.21675,0.01100027
o,15,1.088789,0.08309402,1.21675,0.01100027
o,15,1.091292,0.08278054,1.21675,0.01100027
o,15,1.092844,0.08492141,1.21675,0.01100027
o,15,1.094668,0.08617942,1.21675,0.01100027
o,15,1.096687,0.0876933,1.21675,0.01100027
o,15,1.098756,0.09160555,1.21675,0.01100027
o,15,1.096956,0.09079186,1.21675,0.01100027
o,15,1.094864,0.08929277,1.21675,0.01100027
