absoluteTime,trialTime,deltaTime,trialIndex,xPos,yPos,zPos,xRot,yRot,zRot,conditionType,currentText,targetText
191735.6449699,0.5305067,0.0238773,0,-0.1073323,1.239465,-1.23103,-0.2441019,-0.01856411,0.1150344,Unknown,,It can project long range goals for itself
191735.6682731,0.5540421,0.0235354,0,-0.1103035,1.241541,-1.21986,-0.2395831,-0.02629624,0.1143342,Unknown,,It can project long range goals for itself
191735.691842,0.5774707,0.0234286,0,-0.1135528,1.243753,-1.208658,-0.2340861,-0.03814483,0.1143494,Unknown,,It can project long range goals for itself
191735.7147577,0.6001638,0.0226931,0,-0.114013,1.243981,-1.207422,-0.2323436,-0.04059725,0.1139026,Unknown,,It can project long range goals for itself
191735.7372231,0.623021,0.0228572,0,-0.117135,1.245802,-1.196327,-0.2227188,-0.05471006,0.1115127,Unknown,,It can project long range goals for itself
191735.760148,0.6459327,0.0229117,0,-0.1196822,1.246747,-1.186003,-0.2102607,-0.06852332,0.1083675,Unknown,,It can project long range goals for itself
191735.7828373,0.6685198,0.0225871,0,-0.1218049,1.246494,-1.175349,-0.1935992,-0.08266246,0.1046887,Unknown,,It can project long range goals for itself
191735.8051835,0.6906909,0.0221711,0,-0.1232529,1.245112,-1.165284,-0.1742937,-0.09546664,0.1006649,Unknown,,It can project long range goals for itself
191735.8264088,0.7122224,0.0215315,0,-0.1241268,1.242609,-1.15567,-0.1523525,-0.1067182,0.09583968,Unknown,,It can project long range goals for itself
191735.8479372,0.7336654,0.021443,0,-0.1244781,1.238744,-1.145954,-0.126985,-0.1160991,0.08991107,Unknown,,It can project long range goals for itself
191735.8698155,0.7554612,0.0217958,0,-0.1240969,1.234365,-1.136925,-0.101589,-0.1219183,0.08478773,Unknown,,It can project long range goals for itself
191735.8904311,0.7762515,0.0207903,0,-0.1233403,1.229041,-1.128124,-0.0752848,-0.1250456,0.08065737,Unknown,,It can project long range goals for itself
191735.9120802,0.7978306,0.0215791,0,-0.1222732,1.223521,-1.120133,-0.05110101,-0.1263566,0.07748862,Unknown,,It can project long range goals for itself
191735.9327247,0.8184444,0.0206138,0,-0.1210617,1.218441,-1.113545,-0.03043805,-0.1265086,0.0745955,Unknown,,It can project long range goals for itself
191735.9542955,0.839735,0.0212906,0,-0.1198473,1.213669,-1.10819,-0.01267097,-0.1256171,0.07148675,Unknown,,It can project long range goals for itself
191735.9743152,0.8596083,0.0198733,0,-0.1183877,1.209311,-1.103685,0.003294654,-0.1236724,0.06843397,Unknown,,It can project long range goals for itself
191735.9939796,0.879676,0.0200677,0,-0.116903,1.205293,-1.100342,0.01693272,-0.1212633,0.06624914,Unknown,,It can project long range goals for itself
191736.0168063,0.9010466,0.0213706,0,-0.1152304,1.20176,-1.098054,0.03008024,-0.1186016,0.06471784,Unknown,,It can project long range goals for itself
191736.0336318,0.919549,0.0185024,0,-0.1135891,1.198262,-1.096621,0.04257134,-0.1157564,0.06354844,Unknown,,It can project long range goals for itself
191736.0535884,0.9393695,0.0198205,0,-0.1117771,1.194943,-1.095936,0.05525639,-0.1128532,0.06232724,Unknown,,It can project long range goals for itself
191736.0725987,0.9584723,0.0191028,0,-0.1100734,1.192129,-1.095887,0.06658178,-0.1102775,0.06103684,Unknown,,It can project long range goals for itself
191736.0925229,0.9783621,0.0198898,0,-0.1082513,1.188801,-1.096598,0.07858541,-0.1071599,0.05925999,Unknown,,It can project long range goals for itself
191736.1108369,0.9967329,0.0183708,0,-0.1064608,1.185611,-1.097915,0.08940231,-0.1038053,0.0572153,Unknown,,It can project long range goals for itself
191736.1304552,1.015961,0.019228,0,-0.1046034,1.182398,-1.099812,0.0999369,-0.0999246,0.05483548,Unknown,,It can project long range goals for itself
191736.1493947,1.034876,0.0189148,0,-0.102785,1.179177,-1.102154,0.1093073,-0.09583878,0.05213447,Unknown,,It can project long range goals for itself
191736.1679907,1.053813,0.0189378,0,-0.1007137,1.176386,-1.104937,0.1168844,-0.09161916,0.04974389,Unknown,,It can project long range goals for itself
191736.1869846,1.072804,0.0189903,0,-0.09897435,1.173631,-1.108059,0.1229373,-0.08699944,0.04801182,Unknown,,It can project long range goals for itself
191736.2050309,1.090866,0.0180619,0,-0.09730224,1.171083,-1.111462,0.127476,-0.08221042,0.0471534,Unknown,,It can project long range goals for itself
191736.222667,1.108539,0.0176737,0,-0.09559142,1.16833,-1.115506,0.1313089,-0.07685044,0.0468997,Unknown,,It can project long range goals for itself
191736.2412015,1.126978,0.018439,0,-0.09441423,1.165652,-1.119993,0.1346036,-0.07205345,0.04754264,Unknown,,It can project long range goals for itself
191736.2594954,1.14515,0.0181717,0,-0.09304786,1.163045,-1.125233,0.137568,-0.06896365,0.04855799,Unknown,,It can project long range goals for itself
191736.2769747,1.162858,0.0177075,0,-0.09199642,1.160744,-1.130505,0.139416,-0.06630576,0.04970631,Unknown,,It can project long range goals for itself
191736.2953338,1.180832,0.0179745,0,-0.09090111,1.158647,-1.136266,0.1404011,-0.06393851,0.05068886,Unknown,,It can project long range goals for itself
191736.3124426,1.198632,0.0177998,0,-0.0901003,1.156459,-1.142308,0.1410739,-0.06217187,0.05083529,Unknown,,It can project long range goals for itself
191736.3306335,1.216231,0.0175991,0,-0.08942107,1.154335,-1.148363,0.1422905,-0.06036384,0.05002982,Unknown,,It can project long range goals for itself
191736.3477991,1.233662,0.0174306,0,-0.08864863,1.152126,-1.154779,0.1437216,-0.05848386,0.04898687,Unknown,,It can project long range goals for itself
191736.3663542,1.251933,0.0182713,0,-0.08751994,1.150592,-1.160807,0.1449735,-0.05687606,0.04804609,Unknown,,It can project long range goals for itself
191736.3850809,1.270323,0.0183902,0,-0.08598286,1.14933,-1.167473,0.1463026,-0.05558879,0.04699084,Unknown,,It can project long range goals for itself
191736.402354,1.288207,0.0178842,0,-0.08475929,1.148194,-1.173544,0.1472734,-0.05441285,0.04607772,Unknown,,It can project long range goals for itself
191736.420988,1.306764,0.0185572,0,-0.08345246,1.147259,-1.179456,0.1473024,-0.05307462,0.04472637,Unknown,,It can project long range goals for itself
191736.4384641,1.324318,0.0175537,0,-0.0821079,1.146457,-1.185217,0.1465688,-0.05171926,0.0425561,Unknown,,It can project long range goals for itself
191736.4558107,1.341655,0.0173372,0,-0.08114477,1.145811,-1.189835,0.1458723,-0.05074282,0.04039874,Unknown,,It can project long range goals for itself
191736.4733928,1.359431,0.0177752,0,-0.07953084,1.145667,-1.194507,0.145043,-0.04973605,0.03811166,Unknown,,It can project long range goals for itself
191736.491004,1.376868,0.017437,0,-0.07840763,1.145447,-1.198244,0.1439005,-0.04884929,0.03587273,Unknown,,It can project long range goals for itself
191736.5087617,1.394577,0.0177094,0,-0.07691871,1.145398,-1.201966,0.1422359,-0.04819096,0.03362717,Unknown,,It can project long range goals for itself
191736.5260508,1.41194,0.0173631,0,-0.07546887,1.145346,-1.205148,0.1402013,-0.04770447,0.03173032,Unknown,,It can project long range goals for itself
191736.5431133,1.428899,0.0169585,0,-0.07404322,1.145418,-1.20801,0.1376754,-0.04731356,0.03026191,Unknown,,It can project long range goals for itself
191736.5601364,1.445854,0.0169558,0,-0.07233262,1.14574,-1.21045,0.1350701,-0.04711182,0.02894824,Unknown,,It can project long range goals for itself
191736.5770756,1.462926,0.0170714,0,-0.07069356,1.145977,-1.212644,0.1328209,-0.04703277,0.02774365,Unknown,,It can project long range goals for itself
191736.5933641,1.479546,0.01662,0,-0.06924092,1.145926,-1.214786,0.1308981,-0.04688879,0.0263347,Unknown,,It can project long range goals for itself
191736.6105954,1.496351,0.0168055,0,-0.06757344,1.146112,-1.216624,0.1296626,-0.04675196,0.02471653,Unknown,,It can project long range goals for itself
191736.6273222,1.513136,0.0167843,0,-0.066123,1.145899,-1.218519,0.1288248,-0.04662326,0.02352474,Unknown,,It can project long range goals for itself
191736.6442219,1.529945,0.0168097,0,-0.06498757,1.145484,-1.22011,0.1281067,-0.04639634,0.02244774,Unknown,,It can project long range goals for itself
191736.659939,1.545767,0.0158214,0,-0.0633964,1.145316,-1.22157,0.1279109,-0.04600464,0.02123917,Unknown,,It can project long range goals for itself
