absoluteTime,trialTime,deltaTime,trialIndex,eventType,keyboardValue,xKeyHitLocal,yKeyHitLocal,candidate1,candidate2,candidate3,conditionType,currentText,targetText
191737.1273876,2.013227,0.0137179,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191737.1413071,2.027194,0.0139672,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191737.1554544,2.041302,0.014108,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191737.1694859,2.055624,0.0143227,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191737.1832842,2.068813,0.0131881,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191737.1973677,2.082619,0.0138065,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191737.2100069,2.096171,0.0135518,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191737.2241458,2.109859,0.0136879,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191737.2374194,2.123248,0.0133891,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191737.2515394,2.137063,0.013815,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191737.2648592,2.150592,0.0135291,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191737.2779595,2.163769,0.0131768,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191737.2916347,2.177628,0.0138592,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191737.3048497,2.190524,0.0128961,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191737.3183472,2.203873,0.0133486,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191737.3304582,2.216489,0.0126163,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191737.3437639,2.229498,0.0130092,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191737.3571278,2.24263,0.0131315,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191737.369987,2.256133,0.0135034,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191737.3833909,2.268855,0.0127218,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191737.3957688,2.281447,0.0125917,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191737.4082247,2.294348,0.0129018,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191737.4216773,2.307492,0.0131436,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191737.4349326,2.320289,0.0127971,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191737.4468358,2.332957,0.0126682,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191737.4603779,2.346123,0.0131653,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191737.47194,2.358119,0.0119964,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191737.4850519,2.370825,0.0127055,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191737.4970925,2.382942,0.0121177,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191737.5095211,2.395585,0.0126431,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191737.5225468,2.408004,0.0124183,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191737.5361921,2.421539,0.0135351,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191737.5468804,2.432953,0.0114146,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191737.5595198,2.445319,0.0123659,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191737.5714661,2.457621,0.0123017,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191737.584185,2.469695,0.0120744,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191737.5962341,2.482084,0.0123884,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191737.6079853,2.494122,0.0120378,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191737.6203544,2.506158,0.0120369,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191737.6321189,2.518186,0.012028,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191737.644511,2.530157,0.0119705,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191737.6564588,2.542103,0.0119459,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191737.6685308,2.554467,0.0123639,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191737.6809492,2.5665,0.0120333,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191737.6924971,2.578504,0.0120037,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191737.7045457,2.590273,0.0117692,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191737.71604,2.601816,0.0115433,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191737.7273055,2.613455,0.0116388,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191737.7392669,2.625136,0.0116812,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
191737.7508715,2.636828,0.0116917,0,None,,-Infinity,-Infinity,,,,InitState,,It can project long range goals for itself
