absoluteTime,trialTime,deltaTime,trialIndex,eventType,keyboardValue,xKeyHitLocal,yKeyHitLocal,candidate1,candidate2,candidate3,conditionType,currentText,targetText
791643.9641908,1.919249,0.0119819,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791643.9761987,1.931198,0.0119499,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791643.9884325,1.943409,0.0122106,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791644.0004231,1.955239,0.0118297,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791644.0125778,1.967461,0.0122224,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791644.023597,1.978658,0.0111969,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791644.0355027,1.990211,0.0115529,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791644.0468618,2.001838,0.0116268,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791644.0584043,2.013499,0.0116611,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791644.0700836,2.024951,0.0114522,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791644.0813941,2.036469,0.0115183,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791644.0930455,2.047968,0.0114989,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791644.1044653,2.059529,0.0115602,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791644.116674,2.071639,0.0121102,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791644.1275532,2.082515,0.0108761,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791644.1387634,2.093839,0.0113244,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791644.150044,2.105073,0.0112341,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791644.1614382,2.116527,0.0114539,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791644.1727983,2.127814,0.0112869,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791644.1839012,2.139045,0.0112307,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791644.1952675,2.15028,0.0112351,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791644.2064019,2.16144,0.0111599,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791644.2176139,2.172723,0.0112829,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791644.2286812,2.183713,0.0109906,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791644.2403613,2.19546,0.011747,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791644.2509427,2.205956,0.0104958,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791644.2620163,2.217149,0.0111934,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791644.2731872,2.22824,0.0110909,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791644.2841848,2.239323,0.0110828,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791644.2959634,2.25075,0.0114265,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791644.3064452,2.261494,0.0107447,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791644.3177175,2.272751,0.011257,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791644.3287362,2.283755,0.0110033,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791644.3398854,2.294909,0.0111543,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791644.3514298,2.306464,0.011555,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791644.362113,2.317228,0.0107644,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791644.3738908,2.32872,0.0114915,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791644.3841592,2.339293,0.0105731,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791644.3954278,2.350449,0.0111561,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791644.4067685,2.361608,0.0111584,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791644.4174828,2.372631,0.0110235,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791644.4288546,2.38391,0.0112786,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791644.4398878,2.394971,0.0110613,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791644.4511879,2.406167,0.0111962,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791644.4620704,2.417131,0.0109638,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791644.4733674,2.4284,0.0112693,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791644.4841604,2.439293,0.0108925,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791644.4953993,2.450418,0.0111258,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
791644.506696,2.461557,0.0111389,0,None,,-Infinity,-Infinity,,,,Unknown,,hey everyone
